Тип участі,Економічна мотивація,Тип енергоресурсу/технології,Масштаб,Тип підключення,Рівень формальності,Технологічна компетенція,Соціально-організаційна форма,Географічний контекст,Тип взаємодії
Виробник,Автономія,Біомаса,Мікро (<10 кВт),Мережевий,Легальний,Користувач,Індивід,Місто,Ієрархічна
Споживач,Зменшення витрат,Відходи/RDF,Малий (10–500 кВт),Автономний,Напівтіньовий,Збирач,Домогосподарство,Село,Мережева
Інтегратор,Продаж енергії,Біогаз,Середній (0.5–5 МВт),Гібридний,DIY/експериментальний,Інженер,Кооператив,Прифронтова зона,Ринкова
Постачальник ресурсу,Утилізація відходів,Сонце,Великий (>5 МВт),Мережевий,Тіньовий,Дослідник/інноватор,Бізнес,Відбудовна зона,Гібридна
Фінансист/регулятор,Інновація,Вітер,,,,,Комунальна структура,Промисловий кластер,
,,Газифікація,,,,,Держава,Агрокластер,
,,Піроліз,,,,,Міжнародна організація,Карпатський регіон,
,,Когенерація,,,,,,
,,Зберігання енергії,,,,,,
,,Соціальна місія,,,,,,
